Drawing Number,Material,Program Number,G76 Block 1,G76 Block 2,Machine
JEFD0304260 B,304L,0007-TTM,G76P030060Q0025R.0005,  G76X.3767Z-.38P0306Q0306F.05,TWIN TURN
JEFD0304260 B,304L,0008-TTS,G76P030060Q0025R.0005,  G76X.495Z.3785P0340Q0340F.0555,TWIN TURN
JEFD0304002 D,304,0013-TTM,G76P030060Q0025R.0005,  G76X.3767Z-.38P0306Q0306F.05,TWIN TURN
JEFD0304002 D,304,0014-TTS,G76P030060Q0025R.0005,  G76X.3767Z.38P0306Q0306F.05,TWIN TURN
JEFD0304002 D,304,0019-TTM,G76P030060Q0015R.0005,  G76X.49445Z-.5P0315Q0315F.0555,TWIN TURN
JEFD0365530 A,304,0020-TTS,G76P030060Q0015R.0005,  G76X.49445Z.51P0315Q0315F.0555,TWIN TURN
JEBD0507160 A,304L,0025-TTM HEX UPDATE,G76P030060Q0015R.0005,  G76X.3767Z-.48P0306Q0306F.05,TWIN TURN
JEBD0507160 A,304L,0025-TTM ORG ROUND STOCK,G76P030060Q0015R.0005,  G76X.3767Z-.48P0306Q0306F.05,TWIN TURN
JEBD0507160 A,304L,0026-TT5 HEX UPDATE,G76P030060Q0010R.0005,  G76X.3767Z.49P0306Q0306F.05,TWIN TURN
JEBD0507160 A,304L,0026-TTS ORG ROUND STOCK,G76P030060Q0010R.0005,  G76X.3767Z.49P0306Q0306F.05,TWIN TURN
JETD0300380 B,304,0041-SA16,G76P020060Q00050R0.,  G76X.113Z.125P01350Q01350F.025,SA-16
JEFD0303400 G,304,0045-TTM,G76P030060Q0025R.0005,  G76X.3767Z-.48P0306Q0306F.05,TWIN TURN
JEFD0303400 G,304,0046-TTS,G76P030060Q0025R.0005,  G76X.3767Z.48P0306Q0306F.05,TWIN TURN
VDLD0501090 B,304L,0048-TTS,G76P030060Q0025R.0005,  G76X.26175Z.325P0255Q0255F.04166,TWIN TURN
JEFD0317400 A,304,0049-T42,G76P050060Q00070R.0005,  G76X.4375Z-.550P02706Q02706F.05,T-42
JEFD0319390 A,6AL-4V,0067-T42,G76 P010060 Q00500 R.0005,  G76 X.4782 Z-.311 P03620 Q03620 F.05906,T-42
JELD0508460 A,304L,0114-TTS,G76P030060Q0020R.0005,  G76X.5016Z.35P0307Q0307F.05,TWIN TURN
VXLD0301030 H,304L,0117-TTM,G76P030060Q0020R.0005,  G76X.3767Z-1.1125P0306Q0306F.05,TWIN TURN
VXLD0301030 H,304L,0118-TTS,G76P030060Q0025R.0005,  G76X.3767Z.495P0306Q0306F.05,TWIN TURN
VDLD0302261 B,304L,0130-TTS,G76P030060Q0025R.0005,  G76X.3767Z.5P0306Q0306F.05,TWIN TURN
JEFD0317150 A,304,0137-TTM,G76P030060Q0025R.0005,  G76X.3767Z-.472P0306Q0306F.05,TWIN TURN
JEFD0317150 A,304,0138-TTS,G76P040060Q0025R.0005,  G76X.3767Z.33P0306Q0306F.05,TWIN TURN
JEFD0317060 A,304,0175-TTM,G76P020060Q0020R.0005,  G76X.49434Z-.390P0341Q0341F.0555,TWIN TURN
JEFD0317060 A,304,0176-TTS,G76P030060Q0025R.0005,  G76X.3767Z.38P0306Q0306F.05,TWIN TURN
JEFD0302410 A,304,0181-TTM,G76P050060Q0025R.0005,  G76X.674Z-.48P0383Q0383F.0625,TWIN TURN
JEFD0302410 A,304,0182-TTS,G76P050060Q0025R.0005,  G76X.674Z.48P0383Q0383F.0625,TWIN TURN
JEFD0302390 A,304,0183-TTM,G76P030060Q0025R.0005,  G76X.3767Z-.38P0306Q0306F.05,TWIN TURN
JEFD0302390 A,304,0184-TTS,G76P030060Q0025R.0005,  G76X.3767Z.38P0306Q0306F.05,TWIN TURN
JEFD0302470 C,15-5PH,0193-TTM,G76P030060Q0025R.0005,  G76X0.4898Z-0.425P0341Q0341F0.0556,TWIN TURN
JEFD0302470 C,15-5PH,0194-TTS,G76P030060Q0025R0.0005,  G76X0.3767Z.4P0307Q0307F.05,TWIN TURN
JEBD0507160 A,304L,0209-3SP,G76P010060Q00250R.0005,  G76X.3761Z-.500P03067Q03067F.05,CHNC III
JEBD0507160 A,304L,0209-5SP,G76P020060Q00250R.0005,  G76X.3767Z-.48P03067Q03067F.05,CHNC III
JEBD0507160 A,304L,0210-3SP,G76P010060Q00250R.0005,  G76X.205Z-.335P01130Q01130F.0208,CHNC III
JEFD0302000 E,304L,0218-3SP,G76P020060Q00200R.0005,  G76X.3767Z-.38P03067Q03067F.05,CHNC III
JEFD0302000 E,304L,0219-3SP,G76P020060Q00200R.0005,  G76X.3767Z-.38P03067Q03067F.05,CHNC III
JEFD0302000 E,304L,0219-3SP REAM,G76P020060Q00200R.0005,  G76X.3767Z-.38P03067Q03067F.05,CHNC III
JEFD0302330 B,304L,0221-3SP,G76P020060Q00200R.0005,  G76X.4945Z-.895P03407Q03407F.05555,CHNC III
JEFD0302330 B,304L,0222-3SP,G76P020060Q00200R.0005,  G76X.4945Z-.39P03407Q03407F.05555,CHNC III
JEFD0303400 G,304,0225-3SP,G76P020060Q00150R.0005,  G76X.3767Z-.48P03067Q03067F.05,CHNC III
JEFD0303400 G,304,0226-3SP,G76P020060Q00250R.0005,  G76X.3767Z-.48P03067Q03067F.05,CHNC III
JEFD0303420 B,304,0227-3SP,G76P020060Q00200R.0005,  G76X.4945Z-.4655P03407Q03407F.05555,CHNC III
JEFD0303420 B,304,0228-3SP,G76P020060Q00200R.0005,  G76X.4945Z-.4655P03407Q03407F.05555,CHNC III
JEFD0304002 D,304,0236-3SP,G76P020060Q00200R.0005,  G76X.3767Z-.38P03067Q03067F.05,CHNC III
JEFD0304002 D,304,0237-3SP,G76P020060Q00250R.0005,  G76X.3767Z-.38P03067Q03067F.05,CHNC III
JEFD0304011 D,304,0238-3SP,G76P020060Q00200R.0005,  G76X.3767Z-.85P03067Q03067F.05,CHNC III
JEFD0304011 D,304,0239-3SP,G76P020055Q00250R.0,  G76X.3767Z-.38P03067Q03067F.05,CHNC III
JEFD0304040 B,304L,0240-3SP,G76P020060Q00200R.0005,  G76X.3767Z-.38P03067Q03067F.05,CHNC III
JEFD0304040 B,304L,0241-3SP,G76P020060Q00250R.0005,  G76X.3767Z-.38P03067Q03067F.05,CHNC III
JEFD0304381 A,304L,0245-2SP,G76P020060Q00200R.0005,  G76X.4945Z-.39P03407Q03407F.05555,CHNC III
JEFD0304381 A,304L,0245-3SP,G76P020060Q00200R.0005,  G76X.4945Z-.39P03407Q03407F.05555,CHNC III
