O0001-HEAD#1.nc_block_1, ['g76p040060q0015r0', '0001-1001 JEFD0389130.REV-A', 'KNC-32']
O0001-HEAD#1.nc_block_2, ['g76x.325z.525r0p230q230f.0416', '0001-1001 JEFD0389130.REV-A', 'KNC-32']
O0004-HEAD#1.nc_block_1, ['g76p040060q0015r0', '0004-1004 BASD0500310.REV-A', 'KNC-32']
O0004-HEAD#1.nc_block_2, ['g76x.377z1.12r0p310q310f.05', '0004-1004 BASD0500310.REV-A', 'KNC-32']
O0009-HEAD#1.nc_block_1, ['g76p040060q0015r0', '0009-1009 JEFD0304260.REV-B', 'KNC-32']
O0009-HEAD#1.nc_block_2, ['g76x.495z.465r0p320q320f.0555', '0009-1009 JEFD0304260.REV-B', 'KNC-32']
O1009-HEAD#2.nc_block_1, ['/g76p040060q0015r0', '0009-1009 JEFD0304260.REV-B', 'KNC-32']
O1009-HEAD#2.nc_block_2, ['/g76x.377z.45r0p310q310f.05', '0009-1009 JEFD0304260.REV-B', 'KNC-32']
O0031-HEAD#1.nc_block_1, ['g76p040060q0015r0', '0031-1031 BAJD0500100.REV-B', 'KNC-32']
O0031-HEAD#1.nc_block_2, ['g76x.493z1.075r0p330q330f.0555', '0031-1031 BAJD0500100.REV-B', 'KNC-32']
O0043-HEAD#1.nc_block_1, ['g76p040060q0015r0', '0043-1043 VXLD0500310.REV-A', 'KNC-32']
O0043-HEAD#1.nc_block_2, ['g76x.377z.52r0p310q310f.05', '0043-1043 VXLD0500310.REV-A', 'KNC-32']
O1043-HEAD#2.nc_block_1, ['/g76p040060q0015r0', '0043-1043 VXLD0500310.REV-A', 'KNC-32']
O1043-HEAD#2.nc_block_2, ['/g76x.377z.39r0p310q310f.05', '0043-1043 VXLD0500310.REV-A', 'KNC-32']
O0044-HEAD#1.nc_block_1, ['g76p040060q0015r0', '0044-1044 DTCD0100010.REV-A', 'KNC-32']
O0044-HEAD#1.nc_block_2, ['g76x.377z.53r0p310q310f.05', '0044-1044 DTCD0100010.REV-A', 'KNC-32']
O1044-HEAD#2.nc_block_1, ['/g76p040060q0015r0', '0044-1044 DTCD0100010.REV-A', 'KNC-32']
O1044-HEAD#2.nc_block_2, ['/g76x.377z.395r0p310q310f.05', '0044-1044 DTCD0100010.REV-A', 'KNC-32']
O1072-HEAD#2.nc_block_1, ['/g76p021030q10r0', '0072-1072 JEFD0317570.REV-A', 'KNC-32']
O1072-HEAD#2.nc_block_2, ['/g76x.438z.44r0p290q200f.05', '0072-1072 JEFD0317570.REV-A', 'KNC-32']
O0089-HEAD#1.nc_block_1, ['g76p040060q0015r0', '0089-1089 JEFD0302370.REV-B', 'KNC-32']
O0089-HEAD#1.nc_block_2, ['g76x.377z.443r0p310q310f.05', '0089-1089 JEFD0302370.REV-B', 'KNC-32']
O1089-HEAD#2.nc_block_1, ['/g76p040060q0015r0', '0089-1089 JEFD0302370.REV-B', 'KNC-32']
O1089-HEAD#2.nc_block_2, ['/g76x.377z.45r0p310q310f.05', '0089-1089 JEFD0302370.REV-B', 'KNC-32']
O0090-HEAD#1.nc_block_1, ['g76p040060q0015r0', '0090-1090 VDCX077777.REV-A', 'KNC-32']
O0090-HEAD#1.nc_block_2, ['g76x.206z.42r0p210q210f.0357', '0090-1090 VDCX077777.REV-A', 'KNC-32']
O0091-HEAD#1.nc_block_1, ['g76p040060q0015r0', '0091-1091 VDCX077777.REV-A', 'KNC-32']
O0091-HEAD#1.nc_block_2, ['g76x.206z.42r0p210q210f.0357', '0091-1091 VDCX077777.REV-A', 'KNC-32']
O0092-HEAD#1.nc_block_1, ['g76p040060q0015r0', '0092-1092 VDLD0302060.REV-C', 'KNC-32']
O0092-HEAD#1.nc_block_2, ['g76x.377z.54r0p310q310f.05', '0092-1092 VDLD0302060.REV-C', 'KNC-32']
O0093-HEAD#1.nc_block_1, ['g76p040060q0015r0', '0093-1093 JEFD0304060.REV-B', 'KNC-32']
O0093-HEAD#1.nc_block_2, ['g76x.495z.465r0p320q320f.0555', '0093-1093 JEFD0304060.REV-B', 'KNC-32']
O1093-HEAD#2.nc_block_1, ['/g76p040060q0015r0', '0093-1093 JEFD0304060.REV-B', 'KNC-32']
O1093-HEAD#2.nc_block_2, ['/g76x.495z.465r0p320q320f.0555', '0093-1093 JEFD0304060.REV-B', 'KNC-32']
O1094-HEAD#2.nc_block_1, ['/g76p040060q0015r0', '0094-1094 VDLD0501090.REV-B', 'KNC-32']
O1094-HEAD#2.nc_block_2, ['/g76x.262z.37r0p240q240f.0416', '0094-1094 VDLD0501090.REV-B', 'KNC-32']
O0095-HEAD#1.nc_block_1, ['g76p040060q0015r0', '0095-1095 DTCD0100070.REV-B', 'KNC-32']
O0095-HEAD#1.nc_block_2, ['g76x.495z.47r0p340q310f.0555', '0095-1095 FSID0502260.REV-E', 'KNC-32']
O1095-HEAD#2.nc_block_1, ['/g76p040060q0015r0', '0095-1095 FSID0502260.REV-E', 'KNC-32']
O1095-HEAD#2.nc_block_2, ['/g76x.377z.45r0p310q310f.05', '0095-1095 FSID0502260.REV-E', 'KNC-32']
O1097-HEAD#2.NC_block_1, ['/g76p010160q100r.001', '0097-1097 AARD051621.REV-A', 'KNC-32']
O1097-HEAD#2.NC_block_2, ['/g76x0.1165z.135r0.p0135q0135f0.025', '0097-1097 AARD051621.REV-A', 'KNC-32']
0041-SA16_block_1, ['/g76p020060q00050r0.', 'JETD0300380.REV-B', 'SA-16']
0041-SA16_block_2, ['/g76x.113z.125p01350q01350f.025', 'JETD0300380.REV-B', 'SA-16']
PROG0712_block_1, ['/g76p031560q0020r0005', 'SR-32', 'ALL SWISS MACHINES']
PROG0712_block_2, ['/g76y.164w.35p0115q0030f.0277', 'SR-32', 'ALL SWISS MACHINES']
PROG0714_block_1, ['/g76p031560q0020r0005', 'SR-32', 'ALL SWISS MACHINES']
PROG0714_block_2, ['/g76y.164w.35p0115q0030f.0277', 'SR-32', 'ALL SWISS MACHINES']
PROG0722_block_1, ['/g76p031560q0020r0005', 'SR-32', 'ALL SWISS MACHINES']
PROG0722_block_2, ['/g76x.164w.35p0115q0030f.0277', 'SR-32', 'ALL SWISS MACHINES']
O1400-HEAD#1.nc_block_1, ['g76p040060q0007r0', 'JESD0503410.REV-A', 'SV-20']
O1400-HEAD#1.nc_block_2, ['g76x.125z.295r0p180q180f.0312', 'JESD0503410.REV-A', 'SDR1326A-4 REV-A']
O1501-HEAD#2.nc_block_1, ['/g76p040060q0015r0', 'SDR1360A-1', 'SDR1326A-4 REV-A']
O1501-HEAD#2.nc_block_2, ['/g76y.158z.245r0p180q180f.0315', 'SDR1360A-1', 'SV-20']
O5004_block_1, ['g18g76p010060q00200r0.0005', 'MAIN', '301 BACKUP']
O5004_block_2, ['g76x0.3721z0.490p03067q03067f0.05', 'OFF LOADED FROM MACHINE 09-04-15', 'T-BO-326 TSUGAMI']
O5006_block_1, ['g18g76p010060q00200r.0005', 'MAIN', '301 BACKUP']
O5006_block_2, ['g76x.3721z.5075p03067q03067f.05', 'OFF LOADED FROM MACHINE 09-04-15', 'T-BO-326 TSUGAMI']
O5008_block_1, ['g76p020060q00150r.0005', 'MAIN', '301 BACKUP']
O5008_block_2, ['g76x0.375z0.983p02255q02255f0.0417', '5008-5009 VDCD0306160B REV G', 'T-BO-326 TSUGAMI']
O5014_block_1, ['g76p010060q00250r0.0005', 'MAIN', '301 BACKUP']
O5014_block_2, ['g76x0.3173z0.445p02555q02555f0.0417', 'OFF LOADED FROM MACHINE 09-04-15', 'T-BO-326 TSUGAMI']
O5042_block_1, ['g18g76p020060q00300r.0005', 'MAIN', '301 BACKUP']
O5042_block_2, ['g76x.3761z.87p03067q03067f.05', 'MAIN', '301 BACKUP']
O5046_block_1, ['g18g76p010060q00250r0.', 'MAIN', '301 BACKUP']
O5046_block_2, ['g76x.3761z.34p03067q03067f.05', 'MAIN', '301 BACKUP']
O5058_block_1, ['g76p020060q00150r.0005', 'MAIN', '301 BACKUP']
O5058_block_2, ['g76x.2555z.615p02710q02710f.0357', 'MAIN', '301 BACKUP']
O5099_block_1, ['g76p010060q00300r0.0005', 'MAIN', '301 BACKUP']
O5099_block_2, ['g76x.3691z0.345p03067q03067f0.05', 'MAIN', '301 BACKUP']
O5005.P-2_block_1, ['g18g76p010060q00200r0.0005', 'SUB', '301 BACKUP']
O5005.P-2_block_2, ['g76x0.3721z-0.360p03067q03067f0.05', 'OFF LOADED FROM MACHINE 09-04-15', 'T-BO-326 TSUGAMI']
O5041.P-2_block_1, ['g18g76p030060q00300r.0005', 'SUB', '301 BACKUP']
O5041.P-2_block_2, ['g76x.4898z-.54r-.002p03408q03408f.0556', 'SUB', '301 BACKUP']
O5043.P-2_block_1, ['g18g76p020060q00300r.0005', 'SUB', '301 BACKUP']
O5043.P-2_block_2, ['g76x.3761z-.57p03067q03067f.05', 'SUB', '301 BACKUP']
O5045.P-2_block_1, ['g18g76p020060q00300r.0005', 'SUB', '301 BACKUP']
O5045.P-2_block_2, ['g76x.4898z-.418p03408q03408f.0556', 'SUB', '301 BACKUP']
